URN	folioURN
urn:cite:botcar:catesbyLabels.penOnPage198.1	urn:cite:fufolio:CatesbyHS232.060
urn:cite:botcar:catesbyLabels.penOnPage420.1	urn:cite:fufolio:CatesbyHS232.096
urn:cite:botcar:catesbyLabels.penOnPage239.1	urn:cite:fufolio:CatesbyHS232.093
urn:cite:botcar:catesbyLabels.penOnPage55.1	urn:cite:fufolio:CatesbyHS232.098
urn:cite:botcar:catesbyLabels.penOnPage268.1	urn:cite:fufolio:CatesbyHS232.088
urn:cite:botcar:catesbyLabels.penOnPage422.1	urn:cite:fufolio:CatesbyHS212.012
urn:cite:botcar:catesbyLabels.penOnPage175.1	urn:cite:fufolio:CatesbyHS212.081
urn:cite:botcar:catesbyLabels.penOnPage428.1	urn:cite:fufolio:CatesbyHS212.074
urn:cite:botcar:catesbyLabels.penOnPage216.1	urn:cite:fufolio:CatesbyHS212.092
urn:cite:botcar:catesbyLabels.penOnPage220.1	urn:cite:fufolio:CatesbyHS212.094
urn:cite:botcar:catesbyLabels.penOnPage217.1	urn:cite:fufolio:CatesbyHS212.096
urn:cite:botcar:catesbyLabels.penOnPage379.1	urn:cite:fufolio:CatesbyHS212.096
