speciesURN,tsn,familyURN,genusURN,scientificName,label
urn:cite:botcar:species.Ampelopsisarborea,tsn:28631,urn:cite:botcar:family.Vitaceae,urn:cite:botcar:genus.Ampelopsis,"Ampelopsis arborea (L.) Koehne","**Ampelopsis arborea (L.) Koehne**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Amsoniatabernaemontana,tsn:30148,urn:cite:botcar:family.Apocynaceae,urn:cite:botcar:genus.Amsonia,"Amsonia tabernaemontana Walter var. tabernaemontana","**Amsonia tabernaemontana Walter var. tabernaemontana**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Andropogontenuispatheus,tsn:565857,urn:cite:botcar:family.Poaceae,urn:cite:botcar:genus.Andropogon,"Andropogon tenuispatheus (Nash) Nash","**Andropogon tenuispatheus (Nash) Nash**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Angelicavenenosa,tsn:29453,urn:cite:botcar:family.Apiaceae,urn:cite:botcar:genus.Angelica,"Angelica venenosa (Greenway) Fernald","**Angelica venenosa (Greenway) Fernald**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Apiosamericana,tsn:25390,urn:cite:botcar:family.Fabaceae,urn:cite:botcar:genus.Apios,"Apios americana Medikus","**Apios americana Medikus**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Apocynumcannabinum,tsn:30157,urn:cite:botcar:family.Apocynaceae,urn:cite:botcar:genus.Apocynum,"Apocynum cannabinum L.","**Apocynum cannabinum L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Arnoglossumatriplicifolium,tsn:36583,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Arnoglossum,"Arnoglossum atriplicifolium (L.) H. Rob.","**Arnoglossum atriplicifolium (L.) H. Rob.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Asarumcanadense,tsn:18353,urn:cite:botcar:family.Aristolochiaceae,urn:cite:botcar:genus.Asarum,"Asarum canadense L.","**Asarum canadense L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Asclepiasamplexicaulis,tsn:30244,urn:cite:botcar:family.Apocynaceae,urn:cite:botcar:genus.Asclepias,"Asclepias amplexicaulis Sm.","**Asclepias amplexicaulis Sm.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Asclepiashumistrata,tsn:30272,urn:cite:botcar:family.Apocynaceae,urn:cite:botcar:genus.Asclepias,"Asclepias humistrata Walter","**Asclepias humistrata Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Asclepiasobovata,tsn:30289,urn:cite:botcar:family.Apocynaceae,urn:cite:botcar:genus.Asclepias,"Asclepias obovata Elliott","**Asclepias obovata Elliott**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Asclepiasrubra,tsn:30299,urn:cite:botcar:family.Apocynaceae,urn:cite:botcar:genus.Asclepias,"Asclepias rubra L.","**Asclepias rubra L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Asclepiastuberosa,tsn:30313,urn:cite:botcar:family.Apocynaceae,urn:cite:botcar:genus.Asclepias,"Asclepias tuberosa L.","**Asclepias tuberosa L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Asclepiasverticillata,tsn:30320,urn:cite:botcar:family.Apocynaceae,urn:cite:botcar:genus.Asclepias,"Asclepias verticillata L.","**Asclepias verticillata L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Asclepiasviridiflora,tsn:30322,urn:cite:botcar:family.Apocynaceae,urn:cite:botcar:genus.Asclepias,"Asclepias viridiflora Raf.","**Asclepias viridiflora Raf.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Aspleniumtrichomanes,tsn:17364,urn:cite:botcar:family.Aspleniaceae,urn:cite:botcar:genus.Asplenium,"Asplenium trichomanes L.","**Asplenium trichomanes L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Astragalusmichauxii,tsn:25577,urn:cite:botcar:family.Fabaceae,urn:cite:botcar:genus.Astragalus,"Astragalus michauxii (Kuntze) F.J. Herm.","**Astragalus michauxii (Kuntze) F.J. Herm.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Athyriumasplenioides,tsn:17422,urn:cite:botcar:family.Athyriaceae,urn:cite:botcar:genus.Athyrium,"Athyrium asplenioides (Michaux) A.A. Eaton","**Athyrium asplenioides (Michaux) A.A. Eaton**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Bacopamonnieri,tsn:33038,urn:cite:botcar:family.Plantaginaceae,urn:cite:botcar:genus.Bacopa,"Bacopa monnieri (L.) Pennell","**Bacopa monnieri (L.) Pennell**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Baptisiaalbescens,tsn:192869,urn:cite:botcar:family.Fabaceae,urn:cite:botcar:genus.Baptisia,"Baptisia albescens Small","**Baptisia albescens Small**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
