"speciesURN","scientificNameText",tsn
"urn:cite:botcar:species.Taxodiumascendens","Taxodium ascendens Brongn.",183433
"urn:cite:botcar:species.Taxodiumdistichum","Taxodium distichum (L.) Rich.",18041
"urn:cite:botcar:species.Tephrosiaspicata","Tephrosia spicata (Walter) Torrey & A. Gray",26996
"urn:cite:botcar:species.Tephrosiavirginiana","Tephrosia virginiana (L.) Pers.",26998
"urn:cite:botcar:species.Teucriumcanadense","Teucrium canadense L.",32352
"urn:cite:botcar:species.Thalictrumrevolutum","Thalictrum revolutum DC",18660
"urn:cite:botcar:species.Thaspiumbarbinode","Thaspium barbinode (Michx.) Nutt.",29888
"urn:cite:botcar:species.Thaspiumtrifoliatum","Thaspium trifoliatum (L.) A. Gray var. trifoliatum",29890
"urn:cite:botcar:species.Tiliaamericana","Tilia americana L. var. heterophylla (Vent.) Louden",21536
"urn:cite:botcar:species.Toxicodendronradicans","Toxicodendron radicans (L.) Kuntze",28821
"urn:cite:botcar:species.Toxicodendronvernix","Toxicodendron vernix (L.) Kuntze",28823
"urn:cite:botcar:species.Tragiaurticifolia","Tragia urticifolia Michx.",28437
"urn:cite:botcar:species.Trautvetteriacaroliniensis","Trautvetteria caroliniensis (Walter) Vail",18803
"urn:cite:botcar:species.Triantharacemosa","Triantha racemosa (Walter) Small",522780
"urn:cite:botcar:species.Trichostemadichotomum","Trichostema dichotomum L.",32364
"urn:cite:botcar:species.Trilisapaniculata","Trilisa paniculata (J.F. Gmelin) Cassini",38578
"urn:cite:botcar:species.Trilliumcatesbaei","Trillium catesbaei Elliott",43064
"urn:cite:botcar:species.Trilliummaculatum","Trillium maculatum Raf.",43078
"urn:cite:botcar:species.Triodanisperfoliata","Triodanis perfoliata (L.) Nieuwl.",34615
"urn:cite:botcar:species.Ulmusrubra","Ulmus rubra Muhl.",19050
"urn:cite:botcar:species.Uniolapaniculata","Uniola paniculata L.",41317
"urn:cite:botcar:species.Vacciniumstamineum","Vaccinium stamineum Linnaeus var. caesium (Greene) D.B. Ward",23615
"urn:cite:botcar:species.Vernoniaacaulis","Vernonia acaulis (Walter) Gleason",38616
"urn:cite:botcar:species.Vernoniaangustifolia","Vernonia angustifolia Michx.",38617
"urn:cite:botcar:species.Vernoniagigantea","Vernonia gigantea (Walter) Trelease",38634
"urn:cite:botcar:species.Violalanceolata","Viola lanceolata Linnaeus var. vittata (Greene) Weatherby & Griscom",22094
"urn:cite:botcar:species.Violasororia","Viola sororia Willd.",22169
"urn:cite:botcar:species.Vitisaestivalis","Vitis aestivalis Michaux",28607
"urn:cite:botcar:species.Woodwardiaareolata","Woodwardia areolata (L.) T. Moore",17749
"urn:cite:botcar:species.Xyrisambigua","Xyris ambigua Bey. ex Kunth",505779
"urn:cite:botcar:species.Zizaniaaquatica","Zizania aquatica L.",41319
